날짜,종가,오픈,고가,저가,변동 %
2018년 10월 24일,164.15,163.72,164.26,162.85,0.28%
2018년 10월 23일,163.69,163.07,164.38,162.87,0.35%
2018년 10월 22일,163.12,163.36,164.07,162.73,-0.16%
2018년 10월 19일,163.38,164.22,164.44,162.96,-0.45%
2018년 10월 18일,164.12,162.9,164.35,162.78,0.74%
2018년 10월 17일,162.91,162.57,163.12,162.4,0.25%
2018년 10월 16일,162.5,163.47,164.12,162.12,-0.70%
2018년 10월 15일,163.64,163.44,164.22,162.94,0.13%
2018년 10월 12일,163.43,164.87,165.22,163.24,-0.84%
2018년 10월 11일,164.81,165.12,165.54,164.2,-0.19%
2018년 10월 10일,165.12,163.56,165.29,163.26,0.97%
2018년 10월 09일,163.54,163.69,164.49,163.46,-0.10%
2018년 10월 08일,163.71,164.8,165.02,163.63,-0.67%
2018년 10월 05일,164.82,165.03,165.14,164.19,-0.13%
2018년 10월 04일,165.03,163.85,165.18,163.78,0.72%
2018년 10월 03일,163.85,162.97,164,162.66,0.62%
2018년 10월 02일,162.84,162.03,163.32,161.88,0.43%
2018년 10월 01일,162.15,161.59,162.28,161.47,0.33%
2018년 09월 28일,161.62,161.65,161.75,160.81,-0.06%
2018년 09월 27일,161.72,162.31,162.47,161.2,-0.28%
2018년 09월 26일,162.18,162.66,162.78,161.58,-0.39%
2018년 09월 25일,162.81,163.41,163.5,162.62,-0.33%
2018년 09월 24일,163.35,162.65,163.62,162.54,0.47%
2018년 09월 21일,162.59,163.16,163.56,162.38,-0.35%
2018년 09월 20일,163.16,163.38,164.07,163.15,-0.14%
2018년 09월 19일,163.39,163.63,164.31,163.32,-0.15%
2018년 09월 18일,163.64,164.24,164.94,163.54,-0.38%
2018년 09월 17일,164.26,163.38,164.58,163.25,0.59%
2018년 09월 14일,163.29,163.69,163.94,162.84,-0.21%
2018년 09월 13일,163.63,163.18,164.25,162.99,0.21%
2018년 09월 12일,163.28,163.56,164.59,162.82,-0.15%
2018년 09월 11일,163.53,164.81,166.03,163.5,-0.78%
2018년 09월 10일,164.81,164.9,165.15,164.31,-0.06%
2018년 09월 07일,164.91,164.22,165,163.88,0.46%
2018년 09월 06일,164.16,163.82,164.59,163.47,0.12%
2018년 09월 05일,163.96,163.5,164.81,163.16,0.34%
2018년 09월 04일,163.4,162.97,164,162.94,0.25%
2018년 09월 03일,163,163.34,163.79,162.38,-0.20%
2018년 08월 31일,163.33,162.84,163.73,162.56,0.28%
2018년 08월 30일,162.88,162.91,163.1,162.22,0.04%
2018년 08월 29일,162.82,162.94,163.39,162.48,-0.06%
2018년 08월 28일,162.91,162.69,163.18,162.34,0.12%
2018년 08월 27일,162.72,163.7,164.05,162.51,-0.62%
2018년 08월 24일,163.73,163.42,164.05,162.28,0.13%
2018년 08월 23일,163.51,163.41,163.94,163.09,0.08%
2018년 08월 22일,163.38,163.15,163.9,162.97,0.19%
2018년 08월 21일,163.07,162.93,163.84,162.75,0.01%
2018년 08월 20일,163.05,162.75,164.06,162.7,0.15%
2018년 08월 17일,162.81,163.79,163.94,162.5,-0.59%
2018년 08월 16일,163.78,163.56,164.19,163.22,0.16%
2018년 08월 15일,163.52,163.85,164.56,163.46,-0.22%
2018년 08월 14일,163.88,164.96,165.09,163.76,-0.67%
2018년 08월 13일,164.99,165.07,165.75,164.32,-0.04%
2018년 08월 10일,165.06,164.7,165.47,164.33,0.19%
2018년 08월 09일,164.74,163.52,164.84,163.32,0.80%
2018년 08월 08일,163.44,163.46,164.54,163.26,-0.12%
2018년 08월 07일,163.64,164.41,164.68,163.52,-0.46%
2018년 08월 06일,164.4,164.4,165.42,164.21,0.00%
2018년 08월 03일,164.4,164.81,165.25,163.75,-0.29%
2018년 08월 02일,164.88,164.03,165.62,163.94,0.48%
2018년 08월 01일,164.09,163.38,165.12,163.28,0.42%
2018년 07월 31일,163.41,164.25,164.54,163.02,-0.37%
2018년 07월 30일,164.02,163.66,164.29,163.18,0.15%
2018년 07월 27일,163.77,165.51,165.7,163.47,-1.06%
2018년 07월 26일,165.53,165.15,166.35,164.98,0.25%
