"날짜","종가","오픈","고가","저가","변동 %"
"2019년 09월 05일","132.91","133.37","133.68","132.60","-0.25%"
"2019년 09월 04일","133.25","133.10","133.55","132.63","0.22%"
"2019년 09월 03일","132.96","133.45","133.51","132.51","-0.29%"
"2019년 09월 02일","133.34","132.74","133.50","132.58","0.55%"
"2019년 08월 30일","132.61","132.90","133.13","132.34","-0.12%"
"2019년 08월 29일","132.76","134.12","134.51","132.64","-0.93%"
"2019년 08월 28일","134.01","134.54","134.84","134.04","-0.30%"
"2019년 08월 27일","134.41","134.71","135.12","134.16","-0.13%"
"2019년 08월 26일","134.58","135.53","135.89","134.59","-0.56%"
"2019년 08월 23일","135.34","134.82","135.89","134.32","0.51%"
"2019년 08월 22일","134.65","134.42","135.20","134.22","0.28%"
"2019년 08월 21일","134.28","134.30","134.71","133.44","0.09%"
"2019년 08월 20일","134.17","135.07","135.22","133.84","-0.57%"
"2019년 08월 19일","134.93","134.42","135.30","134.07","0.74%"
"2019년 08월 16일","133.94","134.51","134.78","133.77","-0.32%"
"2019년 08월 15일","134.37","135.45","135.86","134.22","-0.70%"
"2019년 08월 14일","135.32","135.95","136.81","135.20","-0.36%"
"2019년 08월 13일","135.80","136.71","137.39","135.51","-0.57%"
"2019년 08월 12일","136.58","136.84","137.18","136.14","-0.03%"
"2019년 08월 09일","136.62","135.31","137.18","135.11","1.07%"
"2019년 08월 08일","135.17","135.48","135.93","134.87","-0.21%"
"2019년 08월 07일","135.46","136.25","136.79","135.31","-0.48%"
"2019년 08월 06일","136.11","136.47","136.98","135.54","-0.18%"
"2019년 08월 05일","136.36","135.25","136.94","134.89","0.93%"
"2019년 08월 02일","135.10","134.60","135.46","134.10","0.48%"
"2019년 08월 01일","134.46","134.05","134.86","133.52","0.39%"
"2019년 07월 31일","133.93","135.01","135.26","133.63","-0.74%"
"2019년 07월 30일","134.94","136.14","136.19","134.63","-0.80%"
"2019년 07월 29일","136.02","135.87","136.24","135.54","0.20%"
"2019년 07월 26일","135.75","136.51","136.79","135.48","-0.45%"
"2019년 07월 25일","136.36","136.33","136.79","135.96","0.11%"
"2019년 07월 24일","136.21","135.98","136.64","135.36","0.28%"
"2019년 07월 23일","135.83","136.73","136.84","135.59","-0.56%"
"2019년 07월 22일","136.59","137.07","137.56","136.54","-0.36%"
"2019년 07월 19일","137.08","137.35","137.66","136.81","-0.11%"
"2019년 07월 18일","137.23","137.46","137.87","136.68","-0.08%"
"2019년 07월 17일","137.34","137.59","137.96","137.33","-0.12%"
"2019년 07월 16일","137.51","138.21","138.46","137.40","-0.42%"
"2019년 07월 15일","138.09","137.94","138.42","137.82","0.18%"
"2019년 07월 12일","137.84","137.60","138.42","137.37","0.25%"
"2019년 07월 11일","137.49","137.13","137.68","136.74","0.35%"
"2019년 07월 10일","137.01","136.76","137.26","136.31","0.29%"
"2019년 07월 09일","136.62","136.65","136.96","136.31","0.07%"
"2019년 07월 08일","136.52","136.33","137.30","136.25","0.17%"
"2019년 07월 05일","136.29","136.92","137.32","135.98","-0.35%"
"2019년 07월 04일","136.77","137.16","137.42","136.66","-0.18%"
"2019년 07월 03일","137.02","136.28","137.31","135.95","0.65%"
"2019년 07월 02일","136.13","135.40","136.62","135.10","0.63%"
"2019년 07월 01일","135.28","135.52","136.30","134.77","-0.07%"
"2019년 06월 28일","135.38","135.91","136.13","135.37","-0.36%"
"2019년 06월 27일","135.87","135.92","136.30","135.45","0.07%"
"2019년 06월 26일","135.77","135.48","136.32","135.17","0.33%"
"2019년 06월 25일","135.33","136.17","136.29","135.04","-0.51%"
"2019년 06월 24일","136.02","136.29","136.80","135.93","-0.19%"
"2019년 06월 21일","136.27","135.52","136.53","135.31","0.65%"
"2019년 06월 20일","135.39","134.69","135.91","134.39","0.62%"
"2019년 06월 19일","134.55","134.39","135.05","134.14","0.23%"
"2019년 06월 18일","134.25","135.83","136.04","134.22","-1.10%"
"2019년 06월 17일","135.74","136.17","136.46","135.77","-0.29%"
"2019년 06월 14일","136.14","136.32","136.88","135.80","-0.02%"
"2019년 06월 13일","136.17","136.69","137.09","136.19","-0.37%"
"2019년 06월 12일","136.68","136.63","137.23","136.44","0.15%"
"2019년 06월 11일","136.48","136.74","137.12","135.95","-0.09%"
"2019년 06월 10일","136.60","136.92","137.46","136.69","-0.22%"
"2019년 06월 07일","136.90","135.63","137.27","135.33","1.08%"
"2019년 06월 06일","135.44","135.12","135.81","134.92","0.35%"
"2019년 06월 05일","134.97","135.49","136.02","134.93","-0.31%"
"2019년 06월 04일","135.38","135.46","136.63","135.32","0.03%"
"2019년 06월 03일","135.34","135.71","136.04","134.82","-0.20%"
"2019년 05월 31일","135.62","135.63","136.40","135.33","0.10%"
"2019년 05월 30일","135.48","136.43","136.60","135.46","-0.61%"
"2019년 05월 29일","136.31","136.28","137.21","136.09","0.13%"
"2019년 05월 28일","136.13","136.07","137.04","135.87","0.15%"
"2019년 05월 27일","135.93","136.34","136.65","135.80","-0.33%"
"2019년 05월 24일","136.38","135.85","136.63","135.70","0.49%"
"2019년 05월 23일","135.71","135.95","136.34","135.46","-0.14%"
"2019년 05월 22일","135.90","136.16","136.54","135.83","-0.08%"
"2019년 05월 21일","136.01","135.89","136.46","135.50","0.15%"
"2019년 05월 20일","135.80","136.02","136.35","135.63","0.05%"
"2019년 05월 17일","135.73","136.34","136.58","135.69","-0.35%"
"2019년 05월 16일","136.20","136.15","137.06","136.04","0.15%"
"2019년 05월 15일","136.00","135.82","136.59","135.63","0.24%"
"2019년 05월 14일","135.68","135.58","136.28","135.34","0.16%"
"2019년 05월 13일","135.46","134.67","136.68","134.40","0.51%"
"2019년 05월 10일","134.77","134.35","135.48","133.63","0.43%"
"2019년 05월 09일","134.20","133.75","135.41","133.59","0.44%"
"2019년 05월 08일","133.61","134.12","134.21","133.37","-0.34%"
"2019년 05월 07일","134.06","134.08","134.60","133.70","0.10%"
"2019년 05월 06일","133.93","133.05","134.21","132.90","0.18%"
"2019년 05월 03일","133.69","133.29","134.14","133.07","0.40%"
"2019년 05월 02일","133.16","134.39","134.58","133.01","-0.80%"
"2019년 05월 01일","134.24","134.92","135.08","134.13","-0.38%"
"2019년 04월 30일","134.75","133.97","135.53","133.87","0.69%"
"2019년 04월 29일","133.83","133.57","134.12","133.15","0.35%"
"2019년 04월 26일","133.36","133.78","134.18","133.26","-0.20%"
"2019년 04월 25일","133.63","133.83","134.49","133.49","-0.05%"
"2019년 04월 24일","133.69","133.78","134.73","133.39","0.02%"
"2019년 04월 23일","133.66","134.26","134.44","133.30","-0.33%"
"2019년 04월 22일","134.10","133.33","134.50","133.25","0.53%"
"2019년 04월 19일","133.40","133.54","133.81","133.38","-0.04%"
"2019년 04월 18일","133.46","133.31","134.02","132.89","0.23%"
"2019년 04월 17일","133.15","133.95","134.20","133.20","-0.48%"
"2019년 04월 16일","133.79","133.65","134.24","133.47","0.22%"
"2019년 04월 15일","133.50","133.66","133.88","133.18","-0.01%"
"2019년 04월 12일","133.51","133.76","134.10","133.35","-0.08%"
"2019년 04월 11일","133.61","133.94","134.40","133.59","-0.13%"
"2019년 04월 10일","133.78","133.32","134.06","132.99","0.42%"
"2019년 04월 09일","133.23","133.62","133.91","133.28","-0.26%"
"2019년 04월 08일","133.58","132.14","134.19","131.96","1.19%"
"2019년 04월 05일","132.01","132.12","132.47","131.86","-0.01%"
"2019년 04월 04일","132.02","132.36","132.73","132.04","-0.14%"
"2019년 04월 03일","132.21","132.23","132.89","131.96","0.05%"
"2019년 04월 02일","132.15","132.09","132.45","131.73","0.15%"
"2019년 04월 01일","131.94","131.84","132.55","131.43","0.19%"
"2019년 03월 29일","131.70","131.47","132.25","131.19","0.29%"
"2019년 03월 28일","131.32","132.03","132.14","131.15","-0.45%"
"2019년 03월 27일","131.91","132.92","133.06","131.53","-0.64%"
"2019년 03월 26일","132.76","132.74","133.20","132.55","0.13%"
"2019년 03월 25일","132.59","132.71","133.18","132.23","-0.03%"
"2019년 03월 22일","132.63","133.44","134.17","132.37","-0.49%"
"2019년 03월 21일","133.28","132.46","134.16","132.34","0.74%"
"2019년 03월 20일","132.30","132.65","133.00","132.09","-0.13%"
"2019년 03월 19일","132.47","132.52","132.86","132.04","0.06%"
"2019년 03월 18일","132.39","133.06","133.26","132.16","-0.45%"
"2019년 03월 15일","132.99","132.58","133.23","132.30","0.41%"
"2019년 03월 14일","132.44","132.02","132.70","131.78","0.42%"
"2019년 03월 13일","131.88","130.72","132.23","130.54","1.00%"
"2019년 03월 12일","130.58","130.62","131.07","130.23","-0.03%"
"2019년 03월 11일","130.62","129.75","130.87","129.49","0.66%"
"2019년 03월 08일","129.76","129.29","129.83","128.79","0.38%"
"2019년 03월 07일","129.27","130.22","130.61","128.95","-0.73%"
"2019년 03월 06일","130.22","129.94","130.34","129.73","0.21%"
"2019년 03월 05일","129.95","130.30","130.68","129.75","-0.27%"
"2019년 03월 04일","130.30","131.44","131.82","130.16","-0.84%"
"2019년 03월 01일","131.41","131.46","131.94","131.11","-0.06%"
"2019년 02월 28일","131.49","130.83","131.91","130.67","0.52%"
"2019년 02월 27일","130.81","130.29","131.49","130.22","0.40%"
"2019년 02월 26일","130.29","129.87","130.57","129.61","0.35%"
"2019년 02월 25일","129.83","130.39","130.71","129.50","-0.50%"
