,날짜,종가
320,2020-04-06,0.2943
315,2020-04-13,0.295
310,2020-04-20,0.2937
305,2020-04-27,0.2942
300,2020-05-04,0.2953
295,2020-05-11,0.2922
290,2020-05-18,0.2915
285,2020-05-25,0.2915
280,2020-06-01,0.2922
275,2020-06-08,0.2908
270,2020-06-15,0.2874
265,2020-06-22,0.2851
260,2020-06-29,0.2832
255,2020-07-06,0.282
250,2020-07-13,0.2858
245,2020-07-20,0.2852
240,2020-07-27,0.2843
235,2020-08-03,0.2823
230,2020-08-10,0.2807
225,2020-08-17,0.2793
220,2020-08-24,0.2788
215,2020-08-31,0.2821
210,2020-09-07,0.2826
205,2020-09-14,0.2806
200,2020-09-21,0.2815
195,2020-09-28,0.2785
190,2020-10-05,0.2785
185,2020-10-12,0.2787
180,2020-10-19,0.2784
175,2020-10-26,0.2773
170,2020-11-02,0.2765
165,2020-11-09,0.2789
160,2020-11-16,0.2726
155,2020-11-23,0.2772
150,2020-11-30,0.2771
145,2020-12-07,0.2774
140,2020-12-14,0.2784
135,2020-12-21,0.2772
130,2020-12-28,0.2763
125,2021-01-04,0.2755
120,2021-01-11,0.2767
115,2021-01-18,0.2765
110,2021-01-25,0.2743
105,2021-02-01,0.2745
100,2021-02-08,0.2745
95,2021-02-15,0.2743
90,2021-02-22,0.2737
85,2021-03-01,0.2734
80,2021-03-08,0.27
75,2021-03-15,0.2697
70,2021-03-22,0.2692
65,2021-03-29,0.2666
60,2021-04-05,0.2704
55,2021-04-12,0.276
50,2021-04-19,0.2721
45,2021-04-26,0.2604
40,2021-05-03,0.262
35,2021-05-10,0.2681
30,2021-05-17,0.269
25,2021-05-24,0.2623
20,2021-05-31,0.2603
15,2021-06-07,0.2539
10,2021-06-14,0.2564
5,2021-06-21,0.2528
0,2021-06-28,0.2572
