"국가별","항목","단위","2015. 12 월","2016. 01 월","2016. 02 월","2016. 03 월","2016. 04 월","2016. 05 월","2016. 06 월","2016. 07 월","2016. 08 월","2016. 09 월","2016. 10 월","2016. 11 월","2016. 12 월","2017. 01 월","2017. 02 월","2017. 03 월","2017. 04 월","2017. 05 월","2017. 06 월","2017. 07 월","2017. 08 월","2017. 09 월","2017. 10 월","2017. 11 월","2017. 12 월","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월","2019. 01 월","2019. 02 월","2019. 03 월","2019. 04 월","2019. 05 월","2019. 06 월","2019. 07 월","2019. 08 월","2019. 09 월","2019. 10 월","2019. 11 월","2019. 12 월","2020. 01 월","2020. 02 월","2020. 03 월","2020. 04 월","2020. 05 월","2020. 06 월","2020. 07 월","2020. 08 월","2020. 09 월","2020. 10 월","2020. 11 월","2020. 12 월","2021. 01 월","2021. 02 월","2021. 03 월","2021. 04 월","2021. 05 월","2021. 06 월",
"마다가스카르","USD 비율(자국화폐/US$, 기말)","Ariary/US$","3199.21","3202.75","3203.75","3178.75","3156.05","3247.08","3237.72","2964.84","3049.85","3110.98","3206.33","3330.56","3347.94","3200.07","3074.26","3221.68","3195.19","3122.7","3003.44","2940.61","2952.15","3020.95","3152.87","3202.42","3230.19","3217.08","3120.12","3213.25","3227.31","3324.13","3314.67","3270.34","3328.56","3431.07","3537.38","3631.83","3470.24","3463.76","3529.75","3565.95","3625.74","3645.82","3603.82","3649.98","3708.67","3718.41","3665.51","3621.37","3627.27","3626.54","3698.37","3755.09","3798.36","3780.94","3855.38","3803.85","3812.25","3882.84","3897.25","3781.69","3824.84","3788.43","3742.7","3782.22","3784.11","3757.86","",
"마다가스카르","USD 비율(자국화폐/US$, 평균)","Ariary/US$","3202.91","3206.13","3183.97","3194.46","3173.48","3179.59","3264.53","3057.21","3021.78","3057.25","3188.25","3258.94","3332.88","3268.25","3134.83","3176.1","3199.44","3126.86","3128.68","2948.15","2949.38","2985.36","3076.89","3178.42","3220.96","3230.35","3159.3","3137.04","3215.29","3257.94","3355.88","3311.33","3301.9","3407.82","3503.27","3612.33","3524.57706","3544.28136","3530.263","3535.71","3586.623","3626.176","3614.65","3623.30043","3682.09095","3736.84048","3656.40391","3667.63105","3615.89211","3659.13591","3691.3615","3704.53727","3771.925","3805.75842","3815.925","3831.38727","3795.21905","3839.80545","3914.47727","3864.89905","3758.6175","3778.5495","3743.6995","3769.39636","3780.0675","3749.55895","",
"말라위","SDR 비율(자국화폐/SDR, 기말)","Kwacha/SDR","932.15325","1006.78238","1030.84752","972.07156","981.23172","1000.88381","1006.02062","1008.9469","1012.0276","1011.1693","998.21125","988.86936","979.50701","991.40133","989.46536","993.21304","1002.02637","1010.8863","1013.63977","1028.4309","1034.75666","1034.00955","1026.24936","1036.43994","1042.50898","1066.94896","1059.22787","1063.73451","1053.17956","1032.83798","1027.82482","1028.22238","1025.57814","1022.0352","1017.36918","1025.12214","1020.40987","1030.87137","1031.52435","1025.62572","1034.80196","1050.04891","1091.62572","1028.88542","1011.76544","1007.83729","1017.9331","1018.24649","1021.73272","1020.46241","1017.73683","1011.33821","1012.52678","1017.18436","1022.20848","1052.36443","1070.86684","1065.43102","1072.10216","1095.344","1113.48951","1118.76381","1132.75476","1120.01358","1145.4277","1155.98634","",
"말라위","USD 비율(자국화폐/US$, 기말)","Kwacha/US$","672.68","729.29","746.28","689.99","692.31","713.45","719.18","724.1","725.81","724.43","726.58","730.46","728.62","729.6","730.83","732","730.86","730.24","728.51","730.55","732.11","731.63","730.59","732.25","732.03","732.23","732.58","731.66","732.36","729.07","730.73","731.9","731.83","732.51","736.09","741.11","733.69","735.97","737.87","738.79","746.74","762.22","785.22276","748.0532","739.41134","739.25974","737.95875","741.67547","738.87317","741.10266","741.09866","741.01661","741.01671","741.37787","743.04846","744.73726","754.70947","756.92695","759.47288","765.92477","773.11247","776.48697","787.03348","790.29614","797.65867","800.1749","",
"말라위","USD 비율(자국화폐/US$, 평균)","Kwacha/US$","636.48","705.68","747.82","703.72","688.69","703.88","714.73","721.06","725.7","726.05","725.94","726.65","726.14","729.37","730.76","731.05","730.63","730.03","729.12","729.61","730.16","730.78","731.03","730.49","730.24","730.67","731.49","731.64","731.05","730.67","730.91","730.34","730.91","732.13","735.17","736.58","736.44","735.96","735.83","737.65","742.41","751.09317","777.40278","768.20982","739.08382","738.37436","738.60403","740.19686","741.67317","742.2385","741.58974","742.05874","741.899","741.97815","741.96112","743.61384","750.23287","756.06258","759.37055","763.70286","769.62199","776.94577","781.52048","787.67812","793.8704","800.91738","",
"말라위","명목 환율 지수","","31.25633","29.14183","27.1165","28.26063","28.31796","28.08924","27.56047","27.3266","26.77585","26.893","27.06341","27.35623","27.47481","27.19934","26.87572","26.71257","26.77168","26.56803","26.32603","26.15949","25.93847","25.77044","26.18084","26.37982","25.98097","25.25405","24.97875","25.03573","25.21345","25.86988","26.31097","26.5854","27.02069","27.34107","27.33428","27.21209","27.13901","26.93353","26.89093","26.99587","26.81879","26.83573","25.84649","25.95313","27.63698","27.6746","27.60507","27.51512","27.30069","27.19632","27.6648","28.52633","29.49307","29.31749","28.67721","28.34687","28.0065","27.59065","27.37666","26.84242","26.15282","25.89467","25.67104","25.76286","25.43229","24.87766","",
"말라위","CPI 기반 실질 환율 지수","","71.39368","67.34782","63.63763","66.44535","67.16042","68.09649","67.93249","68.07331","68.13376","68.93325","69.82894","71.49242","73.08865","72.20217","71.70181","71.05405","71.17223","72.40881","73.62005","69.61401","69.73812","69.26019","70.81375","72.22383","72.09953","70.84636","70.547","71.63592","71.82841","72.95277","73.62346","79.47356","82.43313","81.99452","82.86978","81.94869","80.9865","80.98135","80.92205","82.66761","84.46361","86.10168","84.06595","85.36321","93.0307","91.53203","89.231","89.01364","88.39538","88.13885","89.96575","93.25222","95.90787","96.24727","94.7466","94.7121","95.5174","92.12306","92.95842","91.40554","89.62592","88.76645","88.71643","89.08603","88.02427","86.20806","",
"말리","SDR 비율(자국화폐/SDR, 기말)","Cfa Francs/SDR","834.92208","829.25496","832.18501","811.70417","815.31835","825.02072","826.50109","822.45817","821.6211","820.351","823.30158","834.98824","836.56563","828.76162","838.063","832.50792","822.81115","809.24589","799.76378","787.43301","784.0362","785.24583","791.72835","783.57114","778.93006","767.28734","776.51848","774.02208","780.94814","794.30921","791.43178","785.21859","788.98858","790.62246","801.03841","798.78189","796.76809","799.78879","803.26907","810.53204","810.30359","810.38378","801.33478","809.0886","813.31244","821.26013","811.20736","820.03604","807.43646","817.24662","820.63715","817.13125","824.10906","808.17647","805.85564","782.33616","779.51902","788.61318","791.56695","783.03824","769.90806","778.76072","778.89625","792.85897","779.62747","776.69001","787.33808",
"말리","USD 비율(자국화폐/US$, 기말)","Cfa Francs/US$","602.51401","600.69322","602.45867","576.15898","575.2495","588.09127","590.84579","590.26096","589.2535","587.72243","599.2664","616.79079","622.29105","609.90888","619.00255","613.56","600.14364","584.57981","574.79583","559.35619","554.72051","555.61325","563.63379","553.59693","546.94989","526.57702","537.05338","532.38942","543.05572","560.69493","562.66684","558.92723","563.00489","566.65256","579.56971","577.47777","572.88821","570.99321","574.59443","583.85136","584.73614","588.24948","576.41213","588.24948","594.3793","602.40334","588.09127","597.30195","583.90333","593.51882","597.57402","598.71942","603.12339","589.04185","585.7805","553.64365","549.37772","560.26392","560.74286","547.54341","534.55872","540.50511","541.174","559.4516","542.92087","537.6256","551.96651",
"말리","USD 비율(자국화폐/US$, 평균)","Cfa Francs/US$","603.05786","604.03144","591.3277","590.97","578.48662","579.92373","584.16806","592.63278","585.06267","585.04431","594.91581","607.42639","622.17863","617.9873","616.34743","613.92203","611.74801","593.2236","584.13968","569.84524","555.57846","550.55023","557.98282","558.832","554.19511","537.69171","531.2339","531.73385","534.32793","555.32033","561.68946","561.33177","567.97945","562.63306","571.18993","577.07827","576.19894","574.57384","577.87713","580.36574","583.68251","586.48278","580.83217","584.71574","589.55923","596.11294","593.48847","593.57509","590.23706","590.93289","601.51949","592.90676","603.90631","601.69329","582.83505","572.21897","554.57535","556.2536","557.06741","554.11579","539.00715","538.95743","542.20733","551.26667","547.58454","540.06434","544.49411",
