날짜,종가,오픈,고가,저가,변동 %
2018년 07월 20일,1.7071,1.7102,1.7184,1.704,-0.20%
2018년 07월 19일,1.7106,1.7326,1.7489,1.7089,-1.29%
2018년 07월 18일,1.7329,1.7241,1.7358,1.7209,0.54%
2018년 07월 17일,1.7236,1.7366,1.7373,1.7208,-0.70%
2018년 07월 16일,1.7357,1.7369,1.7387,1.7296,-0.10%
2018년 07월 13일,1.7375,1.7331,1.7517,1.7296,0.28%
2018년 07월 12일,1.7326,1.7267,1.7403,1.7204,0.30%
2018년 07월 11일,1.7275,1.7192,1.7364,1.7167,0.51%
2018년 07월 10일,1.7188,1.711,1.7253,1.7053,0.44%
2018년 07월 09일,1.7113,1.6984,1.7127,1.6897,0.78%
2018년 07월 06일,1.698,1.7042,1.7088,1.6929,-0.41%
2018년 07월 05일,1.705,1.7125,1.7214,1.7006,-0.48%
2018년 07월 04일,1.7133,1.7174,1.7234,1.7031,-0.14%
2018년 07월 03일,1.7157,1.7005,1.7213,1.6903,0.86%
2018년 07월 02일,1.701,1.7053,1.7169,1.7004,-0.24%
2018년 06월 29일,1.7051,1.7269,1.7281,1.6977,-1.24%
2018년 06월 28일,1.7265,1.7385,1.7422,1.7244,-0.70%
2018년 06월 27일,1.7387,1.7449,1.7504,1.7309,-0.36%
2018년 06월 26일,1.7449,1.7467,1.757,1.7434,-0.10%
2018년 06월 25일,1.7466,1.7424,1.7537,1.7398,0.25%
2018년 06월 22일,1.7423,1.7348,1.7533,1.7282,0.43%
2018년 06월 21일,1.7349,1.7331,1.7451,1.7263,0.10%
2018년 06월 20일,1.7331,1.7371,1.7397,1.7259,-0.22%
2018년 06월 19일,1.7369,1.7329,1.7548,1.7318,0.23%
2018년 06월 18일,1.733,1.7437,1.7496,1.7299,-0.63%
2018년 06월 15일,1.744,1.7066,1.7484,1.7042,2.19%
2018년 06월 14일,1.7066,1.7121,1.7182,1.7046,-0.29%
2018년 06월 13일,1.7116,1.6964,1.7156,1.6932,0.88%
2018년 06월 12일,1.6967,1.7008,1.7096,1.6945,-0.23%
2018년 06월 11일,1.7006,1.7059,1.7094,1.6975,-0.32%
2018년 06월 08일,1.7061,1.6988,1.7105,1.6969,0.43%
2018년 06월 07일,1.6988,1.6995,1.7087,1.6933,-0.02%
2018년 06월 06일,1.6992,1.691,1.7009,1.6817,0.46%
2018년 06월 05일,1.6914,1.6955,1.6997,1.6865,-0.25%
2018년 06월 04일,1.6956,1.6966,1.7044,1.6915,-0.11%
2018년 06월 01일,1.6974,1.7139,1.715,1.6932,-0.95%
2018년 05월 31일,1.7136,1.7146,1.7204,1.7064,-0.15%
2018년 05월 30일,1.7162,1.7242,1.7275,1.7146,-0.38%
2018년 05월 29일,1.7227,1.7219,1.7317,1.7155,0.05%
2018년 05월 28일,1.7219,1.726,1.726,1.715,-0.24%
2018년 05월 25일,1.7261,1.7257,1.7308,1.7155,0.03%
2018년 05월 24일,1.7256,1.729,1.7437,1.7238,-0.20%
2018년 05월 23일,1.7291,1.7247,1.7366,1.7166,0.26%
2018년 05월 22일,1.7247,1.6908,1.7268,1.6844,1.95%
2018년 05월 21일,1.6917,1.697,1.7075,1.6915,-0.27%
2018년 05월 18일,1.6963,1.711,1.7124,1.6932,-0.86%
2018년 05월 17일,1.711,1.7071,1.7169,1.7053,0.14%
2018년 05월 16일,1.7086,1.7099,1.7159,1.7022,-0.01%
2018년 05월 15일,1.7088,1.7123,1.7222,1.6949,-0.21%
2018년 05월 14일,1.7124,1.7268,1.7316,1.7079,-0.64%
2018년 05월 11일,1.7235,1.7112,1.7327,1.7096,0.78%
2018년 05월 10일,1.7102,1.7019,1.7112,1.6849,0.52%
2018년 05월 09일,1.7014,1.7,1.7111,1.698,0.07%
2018년 05월 08일,1.7002,1.7163,1.7174,1.6885,-0.92%
