"날짜","종가","오픈","고가","저가","변동 %"
"2019년 08월 20일","39.162","39.295","39.374","39.121","-0.22%"
"2019년 08월 19일","39.249","39.084","39.338","39.078","0.54%"
"2019년 08월 16일","39.039","39.355","39.426","38.954","-0.69%"
"2019년 08월 15일","39.310","39.444","39.516","39.275","-0.23%"
"2019년 08월 14일","39.399","39.183","39.513","39.151","0.68%"
"2019년 08월 13일","39.132","39.512","39.759","39.150","-0.87%"
"2019년 08월 12일","39.473","39.441","39.584","39.432","0.22%"
"2019년 08월 09일","39.385","39.268","39.528","39.238","0.43%"
"2019년 08월 08일","39.216","39.371","39.516","39.207","-0.35%"
"2019년 08월 07일","39.353","39.500","39.644","39.279","-0.26%"
"2019년 08월 06일","39.454","39.515","39.589","39.296","-0.05%"
"2019년 08월 05일","39.472","39.168","39.614","39.099","0.70%"
"2019년 08월 02일","39.197","38.799","39.330","38.550","1.16%"
"2019년 08월 01일","38.748","38.701","38.862","38.385","0.22%"
"2019년 07월 31일","38.662","38.349","38.735","38.327","0.85%"
"2019년 07월 30일","38.336","38.351","38.419","38.267","0.09%"
"2019년 07월 29일","38.300","38.361","38.420","38.257","-0.04%"
"2019년 07월 26일","38.317","38.287","38.385","38.168","0.20%"
"2019년 07월 25일","38.241","38.118","38.324","38.072","0.46%"
"2019년 07월 24일","38.067","38.166","38.199","38.040","-0.16%"
"2019년 07월 23일","38.127","38.148","38.239","38.085","0.06%"
"2019년 07월 22일","38.103","38.136","38.225","38.077","0.03%"
"2019년 07월 19일","38.091","38.053","38.230","37.979","0.22%"
"2019년 07월 18일","38.008","38.239","38.375","38.036","-0.47%"
"2019년 07월 17일","38.188","38.166","38.285","38.094","0.13%"
"2019년 07월 16일","38.138","38.201","38.288","38.094","-0.05%"
"2019년 07월 15일","38.156","38.095","38.248","38.065","0.39%"
"2019년 07월 12일","38.007","38.266","38.405","38.026","-0.56%"
"2019년 07월 11일","38.221","38.325","38.474","38.198","-0.15%"
"2019년 07월 10일","38.280","38.404","38.425","38.233","-0.21%"
"2019년 07월 09일","38.359","38.329","38.437","38.208","0.19%"
"2019년 07월 08일","38.285","38.181","38.422","38.145","0.39%"
"2019년 07월 05일","38.136","38.088","38.236","38.055","0.23%"
"2019년 07월 04일","38.049","38.259","38.288","38.050","-0.43%"
"2019년 07월 03일","38.214","38.196","38.370","38.128","0.15%"
"2019년 07월 02일","38.157","37.903","38.221","37.784","0.79%"
"2019년 07월 01일","37.859","37.681","38.054","37.491","0.60%"
"2019년 06월 28일","37.634","37.582","37.758","37.535","0.19%"
"2019년 06월 27일","37.565","37.564","37.675","37.467","0.13%"
"2019년 06월 26일","37.518","37.648","37.697","37.451","-0.23%"
"2019년 06월 25일","37.603","37.657","37.732","37.530","-0.03%"
"2019년 06월 24일","37.616","37.617","37.738","37.517","0.06%"
"2019년 06월 21일","37.592","37.564","37.799","37.498","0.17%"
"2019년 06월 20일","37.529","37.532","37.696","37.410","0.11%"
"2019년 06월 19일","37.487","37.638","37.739","37.496","-0.30%"
"2019년 06월 18일","37.600","37.801","37.886","37.552","-0.51%"
"2019년 06월 17일","37.792","38.023","38.042","37.782","-0.58%"
"2019년 06월 14일","38.014","37.921","38.077","37.848","0.38%"
"2019년 06월 13일","37.871","37.855","38.039","37.821","0.07%"
"2019년 06월 12일","37.843","37.681","37.916","37.659","0.56%"
"2019년 06월 11일","37.631","37.761","37.838","37.618","-0.25%"
"2019년 06월 10일","37.724","37.796","37.878","37.697","-0.12%"
"2019년 06월 07일","37.770","37.657","37.864","37.562","0.42%"
"2019년 06월 06일","37.613","37.582","37.729","37.531","0.20%"
"2019년 06월 05일","37.539","37.615","37.736","37.444","-0.13%"
"2019년 06월 04일","37.586","37.679","37.863","37.563","-0.15%"
"2019년 06월 03일","37.641","37.778","37.785","37.408","-0.05%"
"2019년 05월 31일","37.660","37.442","37.783","37.338","0.71%"
"2019년 05월 30일","37.393","37.507","37.542","37.343","-0.17%"
"2019년 05월 29일","37.458","37.318","37.607","37.235","0.49%"
"2019년 05월 28일","37.275","37.215","37.489","37.144","0.31%"
"2019년 05월 27일","37.160","37.307","37.353","37.161","-0.10%"
"2019년 05월 24일","37.198","37.263","37.426","37.203","-0.09%"
"2019년 05월 23일","37.231","37.293","37.377","37.145","-0.10%"
"2019년 05월 22일","37.269","37.321","37.429","37.183","-0.06%"
"2019년 05월 21일","37.290","37.476","37.545","37.272","-0.46%"
"2019년 05월 20일","37.460","37.512","37.597","37.361","-0.02%"
"2019년 05월 17일","37.468","37.637","37.716","37.448","-0.33%"
"2019년 05월 16일","37.593","37.628","37.786","37.562","0.02%"
"2019년 05월 15일","37.584","37.673","37.796","37.569","-0.12%"
"2019년 05월 14일","37.629","37.578","37.826","37.461","0.27%"
"2019년 05월 13일","37.529","37.243","37.658","37.150","0.84%"
"2019년 05월 10일","37.217","37.121","37.477","37.053","0.37%"
"2019년 05월 09일","37.078","36.879","37.319","36.801","0.66%"
"2019년 05월 08일","36.835","36.733","36.934","36.644","0.34%"
"2019년 05월 07일","36.712","36.650","36.808","36.541","0.29%"
"2019년 05월 06일","36.608","36.494","36.790","36.306","0.42%"
"2019년 05월 03일","36.456","36.471","36.605","36.416","0.07%"
"2019년 05월 02일","36.431","36.475","36.519","36.283","-0.00%"
"2019년 05월 01일","36.432","36.497","36.539","36.351","-0.06%"
"2019년 04월 30일","36.454","36.343","36.603","36.285","0.44%"
"2019년 04월 29일","36.294","36.318","36.396","36.224","0.15%"
"2019년 04월 26일","36.241","36.177","36.371","36.111","0.31%"
"2019년 04월 25일","36.129","36.070","36.342","36.032","0.28%"
"2019년 04월 24일","36.028","35.732","36.165","35.699","0.94%"
"2019년 04월 23일","35.691","35.757","35.855","35.687","-0.06%"
"2019년 04월 22일","35.714","35.708","35.876","35.660","0.17%"
"2019년 04월 19일","35.654","35.747","35.815","35.665","-0.18%"
"2019년 04월 18일","35.720","35.617","35.800","35.589","0.41%"
"2019년 04월 17일","35.575","35.731","35.779","35.574","-0.32%"
"2019년 04월 16일","35.689","35.717","35.777","35.630","0.07%"
"2019년 04월 15일","35.664","35.705","35.768","35.602","-0.09%"
"2019년 04월 12일","35.696","35.832","35.899","35.639","-0.26%"
"2019년 04월 11일","35.789","35.864","35.929","35.785","-0.09%"
"2019년 04월 10일","35.821","35.928","35.970","35.757","-0.18%"
"2019년 04월 09일","35.885","35.825","35.960","35.767","0.21%"
"2019년 04월 08일","35.810","35.636","35.923","35.578","0.50%"
"2019년 04월 05일","35.633","35.734","35.809","35.575","-0.21%"
"2019년 04월 04일","35.707","35.738","35.848","35.664","0.03%"
"2019년 04월 03일","35.695","35.785","35.840","35.665","-0.22%"
"2019년 04월 02일","35.775","35.775","35.860","35.691","0.12%"
"2019년 04월 01일","35.732","35.857","35.887","35.661","-0.17%"
"2019년 03월 29일","35.794","35.635","35.903","35.606","0.57%"
"2019년 03월 28일","35.590","35.702","35.850","35.603","-0.20%"
"2019년 03월 27일","35.659","35.911","35.948","35.666","-0.58%"
"2019년 03월 26일","35.868","35.907","36.016","35.732","0.01%"
"2019년 03월 25일","35.864","35.779","36.013","35.753","0.35%"
"2019년 03월 22일","35.740","35.563","35.916","35.486","0.62%"
"2019년 03월 21일","35.520","35.573","35.672","35.482","-0.01%"
"2019년 03월 20일","35.524","35.709","35.781","35.503","-0.40%"
"2019년 03월 19일","35.668","35.726","35.809","35.605","-0.16%"
"2019년 03월 18일","35.726","35.906","35.942","35.678","-0.34%"
"2019년 03월 15일","35.849","35.770","35.923","35.690","0.22%"
"2019년 03월 14일","35.770","35.775","35.875","35.700","-0.01%"
"2019년 03월 13일","35.775","35.654","35.874","35.600","0.34%"
