year,week,rain,wind,temperature,CTRY_1
2015,53,3.045833333333332,7.666666666666667,1.728742514970059,노르웨이
2016,1,1.507936507936508,5.833333333333333,-6.515079365079362,노르웨이
2016,2,0.9693877551020411,4.938775510204081,-5.4933673469387765,노르웨이
2016,3,1.148101265822785,5.265822784810126,-2.3635593220338995,노르웨이
2016,4,2.282724252491693,6.990033222591362,1.0046511627906975,노르웨이
2016,5,1.98112582781457,6.73841059602649,-0.29536423841059456,노르웨이
2016,6,1.5083682008368196,5.841004184100418,-1.8184100418410034,노르웨이
2016,7,1.855813953488371,7.069767441860465,0.22325581395348823,노르웨이
2016,8,0.9952173913043469,5.695652173913044,-0.8017391304347826,노르웨이
2016,9,1.6331658291457287,5.608040201005025,-1.3311557788944723,노르웨이
2016,10,1.7880597014925366,5.447761194029851,0.5029850746268657,노르웨이
2016,11,1.4597345132743362,6.314159292035399,-0.25796460176991204,노르웨이
2016,12,1.5514423076923067,6.461538461538462,0.4480769230769229,노르웨이
2016,13,1.9330275229357794,6.160550458715596,1.8866972477064223,노르웨이
2016,14,1.3461139896373049,3.860103626943005,2.7409326424870466,노르웨이
2016,15,1.0339999999999998,4.233333333333333,0.08866666666666599,노르웨이
2016,16,1.6611111111111103,6.015151515151516,2.124747474747475,노르웨이
2016,17,1.741104294478528,5.171779141104294,2.5858895705521485,노르웨이
2016,18,1.6666666666666665,5.118518518518519,6.168888888888887,노르웨이
2016,19,1.136486486486486,5.5675675675675675,5.236486486486488,노르웨이
2016,20,1.763461538461538,4.673076923076923,6.026923076923075,노르웨이
2016,21,1.382236842105262,4.019736842105263,7.321052631578944,노르웨이
2016,22,1.8432835820895523,3.873134328358209,8.66044776119403,노르웨이
2016,23,0.9157407407407406,5.194444444444445,6.67685185185185,노르웨이
2016,24,1.6011299435028237,4.0508474576271185,9.410734463276839,노르웨이
2016,25,3.0167512690355327,3.7918781725888326,10.563959390862944,노르웨이
2016,26,2.2265060240963863,4.570281124497992,12.39598393574296,노르웨이
2016,27,2.2092391304347845,4.467391304347826,10.58695652173913,노르웨이
2016,28,2.2123152709359606,3.8275862068965516,11.512807881773398,노르웨이
2016,29,1.269325153374232,3.6993865030674846,11.979754601226999,노르웨이
2016,30,2.4246696035242303,3.753303964757709,12.984581497797356,노르웨이
2016,31,2.616055045871559,3.68348623853211,11.845871559633034,노르웨이
2016,32,3.2839843750000015,5.30078125,10.286718749999999,노르웨이
2016,33,1.449242424242423,3.909090909090909,11.060606060606062,노르웨이
2016,34,3.3897435897435892,4.384615384615385,10.896153846153847,노르웨이
2016,35,2.900000000000001,4.80672268907563,9.95966386554622,노르웨이
2016,36,2.4545918367346937,5.01530612244898,10.826530612244898,노르웨이
2016,37,2.3405405405405406,5.222972972972973,9.702702702702704,노르웨이
2016,38,1.7137362637362628,4.450549450549451,9.289560439560443,노르웨이
2016,39,3.000321543408361,6.266881028938907,8.80836012861736,노르웨이
2016,40,1.299999999999999,5.971698113207547,5.598113207547172,노르웨이
2016,41,1.6354545454545448,5.636363636363637,5.443636363636364,노르웨이
2016,42,1.7487341772151885,5.056962025316456,6.007594936708863,노르웨이
2016,43,2.4322727272727267,6.6909090909090905,5.745454545454545,노르웨이
2016,44,3.027477477477476,4.648648648648648,2.5990990990991003,노르웨이
2016,45,2.4346405228758172,6.5816993464052285,1.743790849673203,노르웨이
2016,46,2.4568493150684927,6.510273972602739,4.0701030927835085,노르웨이
2016,47,2.300336700336701,5.841750841750842,1.7767676767676766,노르웨이
2016,48,2.2358565737051794,6.681274900398407,0.8637450199203186,노르웨이
2016,49,2.498201438848922,5.302158273381295,0.669424460431654,노르웨이
2016,50,1.8906250000000009,5.68359375,1.714453125000001,노르웨이
2016,51,2.647231270358307,8.022801302931596,2.502931596091204,노르웨이
2016,52,1.864285714285714,9.375,0.7517857142857146,노르웨이
2016,3,7.815625,3.03125,24.006249999999998,태국
2016,4,7.893846153846153,4.338461538461538,17.80153846153846,태국
2016,8,5.844000000000001,3.6,23.756000000000004,태국
2016,14,1.2,3.2,25.78,태국
2016,16,4.8307692307692305,3.0,28.21153846153846,태국
2016,17,10.49,2.78,26.904000000000007,태국
2016,18,6.713725490196078,1.588235294117647,27.66862745098039,태국
2016,19,17.26410256410256,2.1025641025641026,26.938461538461535,태국
2016,20,10.334013605442177,1.9863945578231292,27.72721088435374,태국
2016,21,12.273372781065088,2.502958579881657,27.353846153846167,태국
2016,22,11.98894472361809,1.6381909547738693,27.194472361809044,태국
2016,23,6.007936507936509,1.8015873015873016,27.665079365079357,태국
2016,24,12.933149171270717,1.6629834254143647,27.093370165745853,태국
2016,25,17.242783505154637,1.5051546391752577,26.536082474226795,태국
2016,26,12.231658291457288,1.899497487437186,26.754773869346714,태국
2016,27,7.944578313253012,2.3373493975903616,26.58433734939759,태국
2016,28,6.051612903225807,1.2258064516129032,26.787096774193547,태국
2016,29,10.674829931972788,1.4625850340136055,26.086394557823123,태국
2016,30,11.75870967741936,1.4,26.27096774193548,태국
2016,31,10.307428571428577,1.822857142857143,26.807428571428566,태국
2016,32,8.429473684210526,2.389473684210526,27.266842105263166,태국
2016,33,6.187898089171973,2.7261146496815285,27.38089171974521,태국
2016,34,13.497252747252746,1.6318681318681318,26.78956043956044,태국
2016,35,10.15838150289017,1.6358381502890174,26.99768786127169,태국
2016,36,13.0,1.898876404494382,26.639325842696625,태국
2016,37,13.130499999999998,1.84,26.461999999999986,태국
2016,38,14.372222222222224,1.9523809523809523,26.640079365079377,태국
2016,39,8.823076923076924,2.0059171597633134,26.70828402366864,태국
