year,week,wind_kr,temperature_kr,water_temp_kr
2015,53,5.352941176470588,7.973109243697475,13.732173913043473
2016,1,6.739495798319327,6.356302521008404,13.282051282051288
2016,2,6.09579831932773,5.514285714285714,12.835593220338982
2016,3,9.819642857142851,0.2687499999999999,11.728318584070799
2016,4,7.211224489795917,4.908163265306123,11.226999999999999
2016,5,6.795575221238936,3.56637168141593,10.31160714285714
2016,6,7.273636363636366,7.910185185185184,10.033944954128438
2016,7,7.084821428571429,4.775675675675677,10.230693069306932
2016,8,6.2847457627118635,5.7612612612612635,10.056896551724133
2016,9,6.471428571428572,7.929729729729729,10.251785714285708
2016,10,6.432203389830509,6.116101694915251,10.322881355932205
2016,11,4.81651376146789,9.324778761061948,10.331858407079649
2016,12,5.303809523809521,8.389523809523808,10.633333333333335
2016,13,4.5008771929824585,11.848695652173909,11.784347826086957
2016,14,4.7210084033613455,12.321739130434782,12.47372881355932
2016,15,6.5184873949579805,12.890350877192983,12.835294117647061
2016,16,4.86638655462185,13.245378151260509,12.98235294117647
2016,17,5.59327731092437,13.931932773109242,13.533050847457623
2016,18,6.521848739495802,15.441176470588237,14.006722689075628
2016,19,5.105172413793102,15.102542372881352,14.895762711864405
2016,20,3.8581196581196573,17.169747899159656,16.481512605042017
2016,21,3.46470588235294,18.235294117647058,17.653781512605047
2016,22,4.2285714285714295,18.962184873949578,18.52627118644068
2016,23,3.1453781512605032,19.868907563025207,19.489915966386548
2016,24,4.430252100840336,20.82542372881356,20.324576271186444
2016,25,4.346218487394959,21.54621848739495,20.84285714285714
2016,26,4.524576271186444,21.6864406779661,20.839830508474577
2016,27,3.732173913043477,22.570434782608697,21.75130434782609
2016,28,4.1660714285714295,23.53928571428571,22.953153153153156
2016,29,4.29646017699115,24.666371681415942,24.062831858407087
2016,30,4.031092436974788,26.953781512605048,25.995798319327736
2016,31,2.706722689075631,27.443697478991595,27.235294117647058
2016,32,3.361344537815126,28.610924369747895,28.446218487394958
2016,33,3.8327731092436976,28.30084033613445,28.49579831932773
2016,34,6.02268907563025,26.26470588235294,27.269747899159665
2016,35,7.731092436974788,24.156302521008406,24.481512605042006
2016,36,3.486440677966102,24.37457627118643,24.588983050847457
2016,37,5.054700854700858,23.832203389830504,24.329661016949142
2016,38,5.48189655172414,22.428813559322027,23.188135593220338
2016,39,5.055172413793105,22.62260869565217,23.06896551724137
2016,40,7.573504273504272,21.35641025641026,22.718803418803418
