year,week,oil
2016,24,47.914
2016,23,50.181999999999995
2016,22,49.081999999999994
2016,21,49.10833333333333
2016,20,48.025999999999996
2016,19,45.44799999999999
2016,18,44.238
2016,17,44.791999999999994
2016,16,42.08
2016,15,41.230000000000004
2016,14,37.263999999999996
2016,13,38.224000000000004
2016,12,40.1525
2016,11,38.324
2016,10,37.806
2016,9,34.660000000000004
2016,8,32.269999999999996
2016,7,30.141999999999996
2016,6,28.301666666666666
2016,5,31.278
2016,4,32.186
2016,3,29.35
2016,2,30.450000000000003
2016,1,34.626
2015,53,37.08
