exchange,year,week,CTRY_2
0.001163,2020,14,칠레
0.001174,2020,15,칠레
0.001175,2020,16,칠레
0.001165,2020,17,칠레
0.001166,2020,18,칠레
0.001192,2020,19,칠레
0.001213,2020,20,칠레
0.00122,2020,21,칠레
0.001242,2020,22,칠레
0.00126,2020,23,칠레
0.001302,2020,24,칠레
0.001276,2020,25,칠레
0.001219,2020,26,칠레
0.001215,2020,27,칠레
0.00125,2020,28,칠레
0.001265,2020,29,칠레
0.001271,2020,30,칠레
0.001301,2020,31,칠레
0.001318,2020,32,칠레
0.00124,2020,33,칠레
0.0012369999999999998,2020,34,칠레
0.0012720000000000001,2020,35,칠레
0.001288,2020,36,칠레
0.001289,2020,37,칠레
0.001306,2020,38,칠레
0.001291,2020,39,칠레
0.001274,2020,40,칠레
0.0012519999999999999,2020,41,칠레
0.001254,2020,42,칠레
0.001269,2020,43,칠레
0.001289,2020,44,칠레
0.001302,2020,45,칠레
0.0013189999999999999,2020,46,칠레
0.0013039999999999998,2020,47,칠레
0.001292,2020,48,칠레
0.00131,2020,49,칠레
0.001341,2020,50,칠레
0.001359,2020,51,칠레
0.001377,2020,52,칠레
0.0014039999999999999,2020,53,칠레
0.001419,2021,1,칠레
0.001389,2021,2,칠레
0.001361,2021,3,칠레
0.001364,2021,4,칠레
0.001362,2021,5,칠레
0.001359,2021,6,칠레
0.001389,2021,7,칠레
0.0014140000000000001,2021,8,칠레
0.0013830000000000001,2021,9,칠레
0.0013570000000000001,2021,10,칠레
0.001382,2021,11,칠레
0.001394,2021,12,칠레
0.001362,2021,13,칠레
0.0013859999999999999,2021,14,칠레
0.001402,2021,15,칠레
0.001426,2021,16,칠레
0.001418,2021,17,칠레
0.001419,2021,18,칠레
0.001434,2021,19,칠레
0.001396,2021,20,칠레
0.001369,2021,21,칠레
0.001382,2021,22,칠레
0.001395,2021,23,칠레
0.001389,2021,24,칠레
0.0013369999999999999,2021,25,칠레
0.001359,2021,26,칠레
0.1541,2015,53,중국
0.153,2016,1,중국
0.1522,2016,2,중국
0.152,2016,3,중국
0.152,2016,4,중국
0.152,2016,5,중국
0.1521,2016,6,중국
0.1539,2016,7,중국
0.1533,2016,8,중국
0.1525,2016,9,중국
0.1535,2016,10,중국
0.1538,2016,11,중국
0.1542,2016,12,중국
0.1537,2016,13,중국
0.1543,2016,14,중국
0.1548,2016,15,중국
0.1545,2016,16,중국
0.154,2016,17,중국
0.1545,2016,18,중국
0.1535,2016,19,중국
0.1533,2016,20,중국
0.1525,2016,21,중국
0.1519,2016,22,중국
0.1524,2016,23,중국
0.1519,2016,24,중국
0.152,2016,25,중국
0.1504,2016,26,중국
0.15,2016,27,중국
0.1494,2016,28,중국
0.1492,2016,29,중국
0.1497,2016,30,중국
0.1505,2016,31,중국
0.1502,2016,32,중국
0.1507,2016,33,중국
0.1504,2016,34,중국
0.1497,2016,35,중국
0.1497,2016,36,중국
0.1497,2016,37,중국
0.1499,2016,38,중국
0.1499,2016,39,중국
0.1499,2016,40,중국
0.149,2016,41,중국
0.1484,2016,42,중국
0.1475,2016,43,중국
0.1475,2016,44,중국
0.1475,2016,45,중국
0.1461,2016,46,중국
0.1451,2016,47,중국
0.1447,2016,48,중국
0.1454,2016,49,중국
0.1447,2016,50,중국
0.1438,2016,51,중국
0.1439,2016,52,중국
0.1439,2017,1,중국
0.1442,2017,2,중국
0.1449,2017,3,중국
0.1459,2017,4,중국
0.1453,2017,5,중국
0.1457,2017,6,중국
0.1453,2017,7,중국
0.1454,2017,8,중국
0.1456,2017,9,중국
0.1449,2017,10,중국
0.1447,2017,11,중국
0.1447,2017,12,중국
0.1455,2017,13,중국
0.1452,2017,14,중국
0.1449,2017,15,중국
0.1453,2017,16,중국
0.1452,2017,17,중국
0.1451,2017,18,중국
0.1448,2017,19,중국
0.1451,2017,20,중국
0.1452,2017,21,중국
0.1459,2017,22,중국
0.147,2017,23,중국
0.1471,2017,24,중국
0.1467,2017,25,중국
