,날짜,종가
102,2021-02-01,55.66
97,2021-02-08,59.36
88,2021-02-22,60.62
83,2021-03-01,62.28
78,2021-03-08,65.84
73,2021-03-15,66.38
68,2021-03-22,64.71
63,2021-03-29,64.42
59,2021-04-05,60.71
54,2021-04-12,61.3
49,2021-04-19,63.47
44,2021-04-26,62.62
39,2021-05-03,65.03
34,2021-05-10,66.2
29,2021-05-17,66.82
24,2021-05-24,66.26
15,2021-06-07,69.84
10,2021-06-14,70.78
5,2021-06-21,71.48
0,2021-06-28,71.54
