"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 11월 18일","61.56","61.56","61.56","61.56","-","-0.61%"
"2019년 11월 15일","61.94","61.94","61.94","61.94","-","0.81%"
"2019년 11월 14일","61.44","61.44","61.44","61.44","-","-0.13%"
"2019년 11월 13일","61.52","61.52","61.52","61.52","-","0.38%"
"2019년 11월 12일","61.29","61.29","61.29","61.29","-","0.33%"
"2019년 11월 11일","61.09","61.09","61.09","61.09","-","-0.31%"
"2019년 11월 08일","61.28","61.28","61.28","61.28","-","0.29%"
"2019년 11월 07일","61.10","61.10","61.10","61.10","-","0.89%"
"2019년 11월 06일","60.56","60.56","60.56","60.56","-","-1.51%"
"2019년 11월 05일","61.49","61.49","61.49","61.49","-","0.99%"
"2019년 11월 04일","60.89","60.89","60.89","60.89","-","0.58%"
"2019년 11월 01일","60.54","60.54","60.54","60.54","-","1.97%"
"2019년 10월 31일","59.37","59.37","59.37","59.37","-","0.08%"
"2019년 10월 30일","59.32","59.32","59.32","59.32","-","-0.15%"
"2019년 10월 29일","59.41","59.41","59.41","59.41","-","-0.07%"
"2019년 10월 28일","59.45","59.45","59.45","59.45","-","-0.12%"
"2019년 10월 25일","59.52","59.52","59.52","59.52","-","0.12%"
"2019년 10월 24일","59.45","59.45","59.45","59.45","-","0.13%"
"2019년 10월 23일","59.37","59.37","59.37","59.37","-","0.58%"
"2019년 10월 22일","59.03","59.03","59.03","59.03","-","0.27%"
"2019년 10월 21일","58.87","58.87","58.87","58.87","-","-0.15%"
"2019년 10월 18일","58.96","58.96","58.96","58.96","-","-0.35%"
"2019년 10월 17일","59.17","59.17","59.17","59.17","-","0.29%"
"2019년 10월 16일","59.00","59.00","59.00","59.00","-","0.24%"
"2019년 10월 15일","58.86","58.86","58.86","58.86","-","-0.14%"
"2019년 10월 14일","58.94","58.94","58.94","58.94","-","-1.31%"
"2019년 10월 11일","59.72","59.72","59.72","59.72","-","1.81%"
"2019년 10월 10일","58.66","58.66","58.66","58.66","-","1.24%"
"2019년 10월 09일","57.94","57.94","57.94","57.94","-","0.05%"
"2019년 10월 08일","57.91","57.91","57.91","57.91","-","-0.53%"
"2019년 10월 07일","58.22","58.22","58.22","58.22","-","0.19%"
"2019년 10월 04일","58.11","58.11","58.11","58.11","-","1.15%"
"2019년 10월 03일","57.45","57.45","57.45","57.45","-","0.23%"
"2019년 10월 02일","57.32","57.32","57.32","57.32","-","-1.36%"
"2019년 10월 01일","58.11","58.11","58.11","58.11","-","-4.92%"
"2019년 09월 30일","61.12","61.12","61.12","61.12","-","0.05%"
"2019년 09월 27일","61.09","61.09","61.09","61.09","-","-0.11%"
"2019년 09월 26일","61.16","61.16","61.16","61.16","-","0.11%"
"2019년 09월 25일","61.09","61.09","61.09","61.09","-","-0.24%"
"2019년 09월 24일","61.24","61.24","61.24","61.24","-","-0.65%"
"2019년 09월 23일","61.64","61.64","61.64","61.64","-","0.21%"
"2019년 09월 20일","61.51","61.51","61.51","61.51","-","0.16%"
"2019년 09월 19일","61.41","61.41","61.41","61.41","-","0.46%"
